ApplicationType,BusinessType,City,StateCode,ZipCode,Created,Submitted,InReview,Billed,Paid,UnderInspection,Ready,Issued,Printed,DaysInCreatedStatus,DaysInReview,DaysInBilled,DaysInPaid,DaysInUnderInspection,DaysInReady,DaysInIssued,TotalDaysCreationToPrint_Original,PostalCode,TotalDaysCreationToIssuance_Recalc,TotalDaysCreationToIssuance_Ints,Human_Baseline,PostalCodeStratify,Created_DayOfYear,Created_Month,Created_DayOfMonth,Created_DayOfWeek,Created_Year
Certificate Of Use,Office,Miami,FL,33142,2018-01-09,,2018-01-09,2018-01-09,2018-01-10,2018-01-18,2018-02-05,2018-02-07,2018-02-16,0,0,1,8,18,2,9,38,33142,29 days 00:00:00.000000000,29,62,33142,9,1,9,1,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33136,2018-01-09,,2018-01-09,2018-01-09,2018-01-10,2018-01-10,2018-01-22,2018-01-22,2018-01-26,0,0,1,0,12,0,4,17,33136,13 days 00:00:00.000000000,13,105,33136,9,1,9,1,2018
Certificate Of Use,General Commercial,Miami,FL,33137,2018-01-09,2018-01-09,2018-01-11,2018-01-11,2018-01-16,2018-01-18,2018-01-23,2018-07-10,2018-07-13,2,0,5,2,5,168,3,185,33137,182 days 00:00:00.000000000,182,62,33137,9,1,9,1,2018
Certificate Of Use,General Commercial,Miami,FL,33138,2018-01-09,2018-01-09,2018-01-10,2018-01-10,2018-01-18,2018-01-22,2018-01-24,2018-01-25,2018-01-26,1,0,8,4,2,1,1,17,33138,16 days 00:00:00.000000000,16,62,33138,9,1,9,1,2018
Certificate Of Use,General Commercial,Miami,FL,33145,2018-01-09,2018-01-09,2018-01-09,2018-01-09,2018-01-10,2018-01-11,2018-01-16,2018-01-16,2018-01-26,0,0,1,1,5,0,10,17,33145,7 days 00:00:00.000000000,7,62,33145,9,1,9,1,2018
Certificate Of Use,Unknown,Miami,FL,33145,2018-01-10,,2018-01-10,2018-01-10,2018-01-11,2018-01-17,2018-01-18,2018-01-18,2018-01-26,0,0,1,6,1,0,8,16,33145,8 days 00:00:00.000000000,8,413,33145,10,1,10,2,2018
Certificate Of Use,General Commercial,Miami,FL,33145,2018-01-09,2018-01-09,2018-01-10,2018-01-10,2018-01-11,2018-01-16,2018-02-26,2018-02-26,2018-03-09,1,0,1,5,41,0,11,59,33145,48 days 00:00:00.000000000,48,62,33145,9,1,9,1,2018
Certificate Of Use,General Commercial,Miami,FL,33125,2018-01-09,2018-01-09,2018-01-10,2018-01-10,2018-01-11,2018-01-11,2018-01-17,2018-01-17,2018-01-26,1,0,1,0,6,0,9,17,33125,8 days 00:00:00.000000000,8,62,33125,9,1,9,1,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-10,,2018-01-10,2018-01-10,2018-01-11,2018-01-16,2018-01-19,2018-01-22,2018-01-26,0,0,1,5,3,3,4,16,33131,12 days 00:00:00.000000000,12,62,33131,10,1,10,2,2018
Certificate Of Use,General Commercial,Miami,FL,33127,2018-01-10,,2018-01-10,2018-01-10,2018-03-24,2018-12-03,2018-12-04,2018-12-14,2018-12-26,0,0,73,254,1,10,12,350,33127,338 days 00:00:00.000000000,338,62,33127,10,1,10,2,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33125,2018-01-10,,2018-01-10,2018-01-10,2018-01-11,2018-02-08,2018-02-08,2018-02-08,2018-02-16,0,0,1,28,0,0,8,37,33125,29 days 00:00:00.000000000,29,105,33125,10,1,10,2,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33133,2018-01-10,,2018-01-10,2018-01-10,2018-01-11,2018-04-10,2018-04-10,2018-04-12,2018-04-13,0,0,1,89,0,2,1,93,33133,92 days 00:00:00.000000000,92,105,33133,10,1,10,2,2018
Certificate Of Use,Unknown,Miami,FL,33125,2018-01-10,2018-01-10,2018-01-10,2018-01-10,2018-01-11,2018-01-12,2018-01-19,2018-01-23,2018-01-26,0,0,1,1,7,4,3,16,33125,13 days 00:00:00.000000000,13,413,33125,10,1,10,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-10,,2018-01-10,2018-01-10,2018-01-11,2018-01-19,2018-01-21,2018-02-06,2018-02-16,0,0,1,8,2,16,10,37,33131,27 days 00:00:00.000000000,27,62,33131,10,1,10,2,2018
Certificate Of Use,General Commercial,Miami,FL,33133,2018-01-10,2018-01-10,2018-01-12,2018-01-12,2018-03-06,2018-03-06,2018-03-07,2018-03-14,2018-03-23,2,0,53,0,1,7,9,72,33133,63 days 00:00:00.000000000,63,62,33133,10,1,10,2,2018
Certificate Of Use,General Commercial,Miami,FL,33133,2018-01-10,2018-01-10,2018-01-12,2018-01-12,2018-03-06,2018-03-06,2018-03-07,2018-03-09,2018-03-09,2,0,53,0,1,2,0,58,33133,58 days 00:00:00.000000000,58,62,33133,10,1,10,2,2018
Certificate Of Use,General Commercial,Miami,FL,33147,2018-01-10,2018-01-10,2018-01-10,2018-01-10,2018-01-11,2018-02-01,2018-02-05,2018-02-05,2018-02-16,0,0,1,21,4,0,11,37,33147,26 days 00:00:00.000000000,26,62,33147,10,1,10,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-10,2018-01-10,2018-01-10,2018-01-10,2018-01-11,2018-01-16,2018-01-19,2018-01-24,2018-01-26,0,0,1,5,3,5,2,16,33131,14 days 00:00:00.000000000,14,62,33131,10,1,10,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-10,2018-01-10,2018-01-12,2018-01-12,2018-01-16,2018-01-19,2018-01-19,2018-01-19,2018-01-26,2,0,4,3,0,0,7,16,33131,9 days 00:00:00.000000000,9,62,33131,10,1,10,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-10,2018-01-10,2018-01-10,2018-01-10,2018-01-12,2018-01-19,2018-02-14,2018-02-22,2018-02-23,0,0,2,7,26,8,1,44,33131,43 days 00:00:00.000000000,43,62,33131,10,1,10,2,2018
Certificate Of Use,Office,Miami,FL,33145,2018-01-10,2018-01-10,2018-01-10,2018-01-10,2018-01-29,2018-01-30,2018-01-30,2018-01-31,2018-02-16,0,0,19,1,0,1,16,37,33145,21 days 00:00:00.000000000,21,62,33145,10,1,10,2,2018
Certificate Of Use,Office,Miami,FL,33145,2018-01-10,2018-01-10,2018-01-10,2018-01-10,2018-01-29,2018-01-30,2018-01-30,2018-01-31,2018-02-16,0,0,19,1,0,1,16,37,33145,21 days 00:00:00.000000000,21,62,33145,10,1,10,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-10,2018-01-10,2018-01-10,2018-01-10,2018-01-11,2018-01-16,2018-01-17,2018-01-19,2018-01-26,0,0,1,5,1,2,7,16,33131,9 days 00:00:00.000000000,9,62,33131,10,1,10,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-10,2018-01-10,2018-01-10,2018-01-10,2018-01-11,2018-01-16,2018-01-17,2018-01-19,2018-01-26,0,0,1,5,1,2,7,16,33131,9 days 00:00:00.000000000,9,62,33131,10,1,10,2,2018
Certificate Of Use,Office,Miami,FL,33126,2018-01-11,,2018-01-11,2018-01-11,2018-04-03,2018-04-18,2018-04-25,2018-04-25,2018-04-25,0,0,82,15,7,0,0,104,33126,104 days 00:00:00.000000000,104,62,33126,11,1,11,3,2018
Certificate Of Use,Unknown,Miami,FL,33126,2018-01-11,,2018-01-11,2018-01-11,2018-01-12,2018-01-23,2018-02-21,2018-02-21,2018-02-23,0,0,1,11,29,0,2,43,33126,41 days 00:00:00.000000000,41,413,33126,11,1,11,3,2018
Certificate Of Use,Unknown,Miami,FL,33127,2018-01-11,,2018-01-11,2018-01-11,2018-01-12,2018-01-25,2018-02-12,2018-02-13,2018-02-16,0,0,1,13,18,1,3,36,33127,33 days 00:00:00.000000000,33,413,33127,11,1,11,3,2018
Certificate Of Use,General Commercial,Miami,FL,33127,2018-01-11,,2018-01-11,2018-01-11,2018-01-16,2018-01-22,2018-02-05,2018-02-05,2018-02-16,0,0,5,6,14,0,11,36,33127,25 days 00:00:00.000000000,25,62,33127,11,1,11,3,2018
Certificate Of Use,Alcohol Beverage Service Establishment,Miami,FL,33127,2018-01-11,,2018-01-11,2018-01-11,2018-01-16,2018-01-17,2018-03-08,2018-03-08,2018-03-09,0,0,5,1,50,0,1,57,33127,56 days 00:00:00.000000000,56,113,33127,11,1,11,3,2018
Certificate Of Use,Alcohol Beverage Service Establishment,Miami,FL,33127,2018-01-11,,2019-12-26,2019-12-26,2019-12-27,2020-01-06,2020-01-06,2020-03-20,2020-03-26,714,0,1,10,0,74,6,805,33127,799 days 00:00:00.000000000,799,113,33127,11,1,11,3,2018
Certificate Of Use,General Commercial,Miami,FL,33130,2018-01-11,2018-01-11,2018-01-11,2018-01-11,2018-01-12,2018-02-08,2018-02-08,2018-02-08,2018-02-16,0,0,1,27,0,0,8,36,33130,28 days 00:00:00.000000000,28,62,33130,11,1,11,3,2018
Certificate Of Use,Office,Miami,FL,33136,2018-01-12,,2018-01-12,2018-01-12,2018-01-13,2018-01-18,2018-02-06,2018-02-06,2018-02-16,0,0,1,5,19,0,10,35,33136,25 days 00:00:00.000000000,25,62,33136,12,1,12,4,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33137,2018-01-11,2018-01-11,2018-01-12,2018-01-12,2018-01-13,2018-01-19,2018-01-22,2018-02-09,2018-02-16,1,0,1,6,3,18,7,36,33137,29 days 00:00:00.000000000,29,105,33137,11,1,11,3,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33137,2018-01-11,,2019-10-10,2019-10-10,2019-10-15,2019-10-17,2019-10-22,2019-12-02,2019-12-06,637,0,5,2,5,41,4,694,33137,690 days 00:00:00.000000000,690,105,33137,11,1,11,3,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-12,2018-01-12,2018-01-12,2018-01-12,2018-01-16,2018-01-16,2018-01-17,2018-01-19,2018-01-26,0,0,4,0,1,2,7,14,33131,7 days 00:00:00.000000000,7,62,33131,12,1,12,4,2018
Certificate Of Use,Office,Miami,FL,33132,2018-01-12,,2018-01-12,2018-01-12,2018-01-13,2018-02-12,2018-02-22,2018-02-22,2018-02-23,0,0,1,30,10,0,1,42,33132,41 days 00:00:00.000000000,41,62,33132,12,1,12,4,2018
Accessory Of Use,Home Office,Miami,FL,33133,2018-01-12,2018-01-12,2018-01-12,2018-01-12,2018-01-13,2018-01-23,2018-01-23,2018-01-23,2018-01-26,0,0,1,10,0,0,3,14,33133,11 days 00:00:00.000000000,11,28,33133,12,1,12,4,2018
Certificate Of Use,General Commercial,Miami,FL,33137,2018-01-12,,2018-01-12,2018-01-12,2018-01-18,2018-01-19,2018-04-16,2018-04-17,2018-04-25,0,0,6,1,87,1,8,103,33137,95 days 00:00:00.000000000,95,62,33137,12,1,12,4,2018
Certificate Of Use,Multi Family Housing,Miami,FL,33125,2018-01-12,,2018-01-12,2018-01-12,2018-01-16,2018-01-17,2018-01-18,2018-01-18,2018-01-26,0,0,4,1,1,0,8,14,33125,6 days 00:00:00.000000000,6,156,33125,12,1,12,4,2018
Certificate Of Use,Office,Miami,FL,33144,2018-01-13,2018-01-13,2018-01-16,2018-01-16,2018-01-17,2018-01-30,2018-01-30,2018-01-30,2018-02-16,3,0,1,13,0,0,17,34,33144,17 days 00:00:00.000000000,17,62,33144,13,1,13,5,2018
Accessory Of Use,Home Office,Miami,FL,33137,2018-01-16,2018-01-16,2018-01-18,2018-01-18,2018-02-24,2018-03-30,2018-03-30,2018-08-13,2018-08-16,2,0,37,34,0,136,3,212,33137,209 days 00:00:00.000000000,209,28,33137,16,1,16,1,2018
Accessory Of Use,Home Office,Miami,FL,33131,2018-01-17,2018-01-17,2018-01-22,2018-01-22,2018-01-23,2018-01-25,2018-01-25,2018-01-29,2018-02-16,5,0,1,2,0,4,18,30,33131,12 days 00:00:00.000000000,12,28,33131,17,1,17,2,2018
Certificate Of Use,Office,Miami,FL,33135,2018-01-15,2018-01-15,2018-01-22,2018-01-22,2018-01-23,2018-02-05,2018-02-06,2018-02-06,2018-02-16,7,0,1,13,1,0,10,32,33135,22 days 00:00:00.000000000,22,62,33135,15,1,15,0,2018
Certificate Of Use,Multi Family Housing,Miami,FL,33128,2018-01-16,2018-01-16,2018-01-16,2018-01-16,2018-01-17,2018-02-09,2018-02-09,2018-02-12,2018-02-16,0,0,1,23,0,3,4,31,33128,27 days 00:00:00.000000000,27,156,33128,16,1,16,1,2018
Certificate Of Use,General Commercial,Miami,FL,33125,2018-01-16,,2018-01-16,2018-01-16,2018-01-17,2018-01-23,2018-01-29,2018-01-30,2018-02-16,0,0,1,6,6,1,17,31,33125,14 days 00:00:00.000000000,14,62,33125,16,1,16,1,2018
Accessory Of Use,Home Office,Miami,FL,33133,2018-01-16,,2018-01-16,2018-01-16,2018-01-17,2018-02-15,2018-02-15,2018-02-16,2018-02-16,0,0,1,29,0,1,0,31,33133,31 days 00:00:00.000000000,31,28,33133,16,1,16,1,2018
Certificate Of Use,General Commercial,Miami,FL,33126,2018-01-17,,2018-01-17,2018-01-17,2018-01-18,2018-02-20,2018-02-21,2018-02-21,2018-02-23,0,0,1,33,1,0,2,37,33126,35 days 00:00:00.000000000,35,62,33126,17,1,17,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-16,2018-01-16,2018-01-16,2018-01-16,2018-01-20,2018-01-23,2018-01-24,2018-01-31,2018-02-16,0,0,4,3,1,7,16,31,33131,15 days 00:00:00.000000000,15,62,33131,16,1,16,1,2018
Certificate Of Use,Unknown,Miami,FL,33137,2018-01-16,2018-01-16,2018-01-17,2018-01-17,2018-01-18,2018-01-25,2018-01-26,2018-01-31,2018-02-16,1,0,1,7,1,5,16,31,33137,15 days 00:00:00.000000000,15,413,33137,16,1,16,1,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-16,2018-01-16,2018-01-17,2018-01-17,2018-01-18,2018-01-19,2018-01-30,2018-02-20,2018-02-23,1,0,1,1,11,21,3,38,33131,35 days 00:00:00.000000000,35,62,33131,16,1,16,1,2018
Certificate Of Use,Office,Miami,FL,33136,2018-01-17,,2018-01-17,2018-01-17,2018-01-18,2018-02-05,2018-02-05,2018-02-05,2018-02-16,0,0,1,18,0,0,11,30,33136,19 days 00:00:00.000000000,19,62,33136,17,1,17,2,2018
Certificate Of Use,General Commercial,Miami,FL,33132,2018-01-17,,2018-01-17,2018-01-17,2018-01-18,2018-01-25,2018-02-20,2018-02-26,2018-04-13,0,0,1,7,26,6,46,86,33132,40 days 00:00:00.000000000,40,62,33132,17,1,17,2,2018
Certificate Of Use,General Commercial,Miami,FL,33134,2018-01-17,,2018-01-17,2018-01-17,2018-01-18,2018-02-22,2018-02-28,2018-02-28,2018-03-09,0,0,1,35,6,0,9,51,33134,42 days 00:00:00.000000000,42,62,33134,17,1,17,2,2018
Certificate Of Use,General Commercial,Miami,FL,33132,2018-01-17,,2018-01-17,2018-01-17,2018-01-18,2018-02-07,2018-02-08,2018-02-08,2018-02-16,0,0,1,20,1,0,8,30,33132,22 days 00:00:00.000000000,22,62,33132,17,1,17,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-17,2018-01-17,2018-01-18,2018-01-18,2018-01-19,2018-01-21,2018-01-23,2018-01-30,2018-02-16,1,0,1,2,2,7,17,30,33131,13 days 00:00:00.000000000,13,62,33131,17,1,17,2,2018
Certificate Of Use,General Commercial,Miami,FL,33132,2018-01-17,2018-01-17,2018-01-17,2018-01-17,2018-01-18,2018-01-18,2018-01-23,2018-03-05,2018-03-09,0,0,1,0,5,41,4,51,33132,47 days 00:00:00.000000000,47,62,33132,17,1,17,2,2018
Certificate Of Use,General Commercial,Miami,FL,33144,2018-01-17,,2018-01-17,2018-01-17,2018-01-18,2018-02-06,2018-02-06,2018-02-06,2018-02-16,0,0,1,19,0,0,10,30,33144,20 days 00:00:00.000000000,20,62,33144,17,1,17,2,2018
Certificate Of Use,General Commercial,Miami,FL,33135,2018-01-17,,2018-01-17,2018-01-17,2018-02-16,2018-02-21,2018-05-07,2018-05-08,2018-05-14,0,0,30,5,75,1,6,117,33135,111 days 00:00:00.000000000,111,62,33135,17,1,17,2,2018
Certificate Of Use,Office,Miami,FL,33144,2018-01-17,,2018-01-17,2018-01-17,2018-01-18,2018-01-23,2018-02-22,2018-02-22,2018-02-23,0,0,1,5,30,0,1,37,33144,36 days 00:00:00.000000000,36,62,33144,17,1,17,2,2018
Certificate Of Use,Multi Family Housing,Miami,FL,33138,2018-01-18,,2018-01-18,2018-01-18,2018-01-19,2018-01-31,2018-04-16,2018-04-19,2018-04-25,0,0,1,12,75,3,6,97,33138,91 days 00:00:00.000000000,91,156,33138,18,1,18,3,2018
Certificate Of Use,Multi Family Housing,Miami,FL,33138,2018-01-17,2018-01-17,2018-01-17,2018-01-17,2018-01-19,2018-04-04,2018-04-12,2018-04-16,2018-04-25,0,0,2,75,8,4,9,98,33138,89 days 00:00:00.000000000,89,156,33138,17,1,17,2,2018
Certificate Of Use,Office,Miami,FL,33142,2018-01-17,,2018-01-17,2018-01-17,2018-01-18,2018-01-26,2018-02-05,2018-02-05,2018-02-16,0,0,1,8,10,0,11,30,33142,19 days 00:00:00.000000000,19,62,33142,17,1,17,2,2018
Certificate Of Use,General Commercial,Miami,FL,33132,2018-01-17,2018-01-17,2018-01-17,2018-01-17,2018-01-19,2018-01-22,2019-02-04,2019-02-04,2019-02-08,0,0,2,3,378,0,4,387,33132,383 days 00:00:00.000000000,383,62,33132,17,1,17,2,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-17,2018-01-17,2018-01-17,2018-01-17,2018-01-18,2018-02-22,2018-03-06,2018-03-06,2018-03-09,0,0,1,35,12,0,3,51,33131,48 days 00:00:00.000000000,48,62,33131,17,1,17,2,2018
Accessory Of Use,Home Office,Miami,FL,33137,2018-01-18,2018-01-18,2018-01-18,2018-01-18,2018-01-19,2018-03-08,2018-03-08,2018-04-03,2018-04-13,0,0,1,48,0,26,10,85,33137,75 days 00:00:00.000000000,75,28,33137,18,1,18,3,2018
Certificate Of Use,Office,Miami,FL,33134,2018-01-18,,2018-01-18,2018-01-18,2018-01-19,2018-01-25,2018-02-01,2018-02-02,2018-02-16,0,0,1,6,7,1,14,29,33134,15 days 00:00:00.000000000,15,62,33134,18,1,18,3,2018
Accessory Of Use,Home Office,Miami,FL,33127,2018-01-18,,2018-01-18,2018-01-18,2018-01-19,2018-01-30,2018-01-30,2018-02-07,2018-02-16,0,0,1,11,0,8,9,29,33127,20 days 00:00:00.000000000,20,28,33127,18,1,18,3,2018
Certificate Of Use,Unknown,Miami,FL,33130,2018-01-18,,2018-01-18,2018-01-18,2018-01-19,2018-01-23,2018-01-25,2018-01-25,2018-01-26,0,0,1,4,2,0,1,8,33130,7 days 00:00:00.000000000,7,413,33130,18,1,18,3,2018
Certificate Of Use,Unknown,Miami,FL,33131,2018-01-18,2018-01-18,2018-01-18,2018-01-18,2018-01-19,2018-01-23,2018-02-13,2018-02-15,2018-02-16,0,0,1,4,21,2,1,29,33131,28 days 00:00:00.000000000,28,413,33131,18,1,18,3,2018
Certificate Of Use,General Commercial,Miami,FL,33131,2018-01-18,2018-01-18,2018-01-18,2018-01-18,2018-10-01,2018-01-19,2018-01-19,2018-01-25,2018-01-26,0,0,256,-255,0,6,1,8,33131,7 days 00:00:00.000000000,7,62,33131,18,1,18,3,2018
Certificate Of Use,Office,Miami,FL,33145,2018-01-18,,2018-01-18,2018-01-18,2018-01-19,2018-01-19,2018-02-27,2018-03-02,2018-03-09,0,0,1,0,39,3,7,50,33145,43 days 00:00:00.000000000,43,62,33145,18,1,18,3,2018
Certificate Of Use,Storage / Distribution Facility,Miami,FL,33142,2018-01-18,,2018-01-18,2018-01-18,2018-01-24,2018-02-13,2018-02-13,2018-05-03,2018-05-14,0,0,6,20,0,79,11,116,33142,105 days 00:00:00.000000000,105,62,33142,18,1,18,3,2018
Certificate Of Use,Office,Miami,FL,33145,2018-01-18,,2018-01-18,2018-01-18,2018-01-19,2018-01-19,2018-02-27,2018-03-02,2018-03-09,0,0,1,0,39,3,7,50,33145,43 days 00:00:00.000000000,43,62,33145,18,1,18,3,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-18,2018-01-18,2018-01-18,2018-01-18,2018-01-19,2018-01-23,2018-01-24,2018-04-12,2018-04-13,0,0,1,4,1,78,1,85,33131,84 days 00:00:00.000000000,84,62,33131,18,1,18,3,2018
Certificate Of Use,Office,Miami,FL,33135,2018-01-18,2018-01-18,2018-01-19,2018-01-19,2018-01-23,2018-01-26,2018-01-30,2018-01-30,2018-02-16,1,0,4,3,4,0,17,29,33135,12 days 00:00:00.000000000,12,62,33135,18,1,18,3,2018
Certificate Of Use,Office,Miami,FL,33135,2018-01-19,,2018-01-19,2018-01-19,2018-01-20,2018-01-29,2018-02-05,2018-03-20,2018-03-23,0,0,1,9,7,43,3,63,33135,60 days 00:00:00.000000000,60,62,33135,19,1,19,4,2018
Certificate Of Use,General Commercial,Miami,FL,33137,2018-01-18,2018-01-18,2018-01-19,2018-01-19,2018-01-20,2018-01-29,2018-02-01,2018-02-01,2018-02-16,1,0,1,9,3,0,15,29,33137,14 days 00:00:00.000000000,14,62,33137,18,1,18,3,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33138,2018-01-19,,2018-01-19,2018-01-19,2018-01-22,2018-01-22,2018-02-02,2018-02-06,2018-02-16,0,0,3,0,11,4,10,28,33138,18 days 00:00:00.000000000,18,105,33138,19,1,19,4,2018
Certificate Of Use,Office,Miami,FL,33144,2018-01-19,,2018-01-19,2018-01-19,2018-01-20,2018-01-23,2018-02-01,2018-02-01,2018-02-16,0,0,1,3,9,0,15,28,33144,13 days 00:00:00.000000000,13,62,33144,19,1,19,4,2018
Certificate Of Use,General Commercial,Miami,FL,33144,2018-01-19,,2018-01-19,2018-01-19,2018-01-22,2018-01-23,2018-01-25,2018-01-29,2018-02-16,0,0,3,1,2,4,18,28,33144,10 days 00:00:00.000000000,10,62,33144,19,1,19,4,2018
Certificate Of Use,Office,Miami,FL,33145,2018-01-19,,2018-01-19,2018-01-19,2018-01-24,2018-02-28,2018-03-02,2018-03-06,2018-03-09,0,0,5,35,2,4,3,49,33145,46 days 00:00:00.000000000,46,62,33145,19,1,19,4,2018
Certificate Of Use,General Commercial,Miami,FL,33132,2018-01-19,,2018-01-19,2018-01-19,2018-01-20,2018-01-25,2018-02-01,2018-02-01,2018-02-16,0,0,1,5,7,0,15,28,33132,13 days 00:00:00.000000000,13,62,33132,19,1,19,4,2018
Certificate Of Use,Unknown,Miami,FL,33132,2018-01-19,,2018-01-19,2018-01-19,2018-02-06,2018-02-06,2018-02-08,2018-04-17,2018-04-25,0,0,18,0,2,68,8,96,33132,88 days 00:00:00.000000000,88,413,33132,19,1,19,4,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33137,2018-01-19,2018-01-19,2018-01-19,2018-01-19,2018-01-25,2018-02-09,2018-02-14,2018-07-11,2018-07-13,0,0,6,15,5,147,2,175,33137,173 days 00:00:00.000000000,173,105,33137,19,1,19,4,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-22,,2018-01-22,2018-01-22,2018-01-23,2018-01-23,2018-02-16,2018-02-16,2018-02-16,0,0,1,0,24,0,0,25,33131,25 days 00:00:00.000000000,25,62,33131,22,1,22,0,2018
Certificate Of Use,General Commercial,Miami,FL,33127,2018-01-22,,2018-01-22,2018-01-22,2018-01-23,2018-01-24,2018-01-24,2018-01-24,2018-01-26,0,0,1,1,0,0,2,4,33127,2 days 00:00:00.000000000,2,62,33127,22,1,22,0,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33128,2018-01-22,,2018-01-22,2018-01-22,2018-01-23,2018-01-29,2018-02-05,2018-04-09,2018-04-13,0,0,1,6,7,63,4,81,33128,77 days 00:00:00.000000000,77,105,33128,22,1,22,0,2018
Certificate Of Use,Office,Miami,FL,33132,2018-01-22,,2018-01-22,2018-01-22,2018-01-23,2018-03-21,2018-03-22,2018-03-29,2018-04-13,0,0,1,57,1,7,15,81,33132,66 days 00:00:00.000000000,66,62,33132,22,1,22,0,2018
Certificate Of Use,Auto-Related Commercial Establishment,Miami,FL,33142,2018-01-24,2018-01-24,2018-01-24,2018-01-24,2018-02-26,2018-03-20,2018-03-21,2018-03-21,2018-03-23,0,0,33,22,1,0,2,58,33142,56 days 00:00:00.000000000,56,62,33142,24,1,24,2,2018
Certificate Of Use,Learning Center,Miami,FL,33135,2018-01-22,2018-01-22,2018-01-22,2018-01-22,2018-01-23,2018-01-23,2018-01-26,2018-01-26,2018-02-16,0,0,1,0,3,0,21,25,33135,4 days 00:00:00.000000000,4,62,33135,22,1,22,0,2018
Certificate Of Use,Learning Center,Miami,FL,33135,2018-01-22,2018-01-22,2018-01-22,2018-01-22,2018-01-23,2018-01-23,2018-01-26,2018-01-26,2018-02-16,0,0,1,0,3,0,21,25,33135,4 days 00:00:00.000000000,4,62,33135,22,1,22,0,2018
Certificate Of Use,Food Service Establishment,Miami,FL,33130,2018-01-22,2018-01-22,2018-01-22,2018-01-22,2018-01-23,2018-04-11,2018-04-11,2018-04-11,2018-04-13,0,0,1,78,0,0,2,81,33130,79 days 00:00:00.000000000,79,105,33130,22,1,22,0,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-23,,2018-01-23,2018-01-23,2018-01-30,2018-01-30,2018-02-07,2018-02-09,2018-02-16,0,0,7,0,8,2,7,24,33131,17 days 00:00:00.000000000,17,62,33131,23,1,23,1,2018
Certificate Of Use,Unknown,Miami,FL,33126,2018-01-22,2018-01-22,2018-01-23,2018-01-23,2018-01-24,2018-01-26,2018-01-29,2018-02-06,2018-02-16,1,0,1,2,3,8,10,25,33126,15 days 00:00:00.000000000,15,413,33126,22,1,22,0,2018
Certificate Of Use,Office,Miami,FL,33131,2018-01-23,,2018-01-23,2018-01-23,2018-01-30,2018-01-30,2018-02-07,2018-02-09,2018-02-16,0,0,7,0,8,2,7,24,33131,17 days 00:00:00.000000000,17,62,33131,23,1,23,1,2018
Certificate Of Use,Office,Miami,FL,33135,2018-01-22,2018-01-22,2018-01-23,2018-01-23,2018-01-24,2018-02-05,2018-02-06,2018-02-06,2018-02-16,1,0,1,12,1,0,10,25,33135,15 days 00:00:00.000000000,15,62,33135,22,1,22,0,2018
Certificate Of Use,Office,Miami,FL,33125,2018-01-22,2018-01-22,2018-01-22,2018-01-22,2018-01-23,2018-01-25,2018-01-31,2018-03-14,2018-03-23,0,0,1,2,6,42,9,60,33125,51 days 00:00:00.000000000,51,62,33125,22,1,22,0,2018
Certificate Of Use,Office,Miami,FL,33125,2018-01-22,2018-01-22,2018-01-22,2018-01-22,2018-02-01,2018-04-03,2018-04-03,2018-04-03,2018-04-13,0,0,10,61,0,0,10,81,33125,71 days 00:00:00.000000000,71,62,33125,22,1,22,0,2018
Certificate Of Use,Office,Miami,FL,33125,2018-01-22,2018-01-22,2018-01-23,2018-01-23,2018-01-24,2018-01-25,2018-01-31,2018-02-06,2018-02-16,1,0,1,1,6,6,10,25,33125,15 days 00:00:00.000000000,15,62,33125,22,1,22,0,2018
Certificate Of Use,Office,Miami,FL,33125,2018-01-22,2018-01-22,2018-01-23,2018-01-23,2018-01-24,2018-01-25,2018-01-31,2018-02-06,2018-02-16,1,0,1,1,6,6,10,25,33125,15 days 00:00:00.000000000,15,62,33125,22,1,22,0,2018
Certificate Of Use,Manufacturing And Processing,Miami,FL,33127,2018-01-22,2018-01-22,2018-01-29,2018-01-29,2018-01-30,2018-02-02,2018-02-14,2018-02-22,2018-02-23,7,0,1,3,12,8,1,32,33127,31 days 00:00:00.000000000,31,62,33127,22,1,22,0,2018
